X0,X1,X2,X3,X4,X5,X6
-0.100884,0.079629,-1.473044,-1.631113,0.347739,2.309990,0.114061
-0.306523,0.082365,0.374463,-0.314562,-1.125271,-0.612094,-0.106259
-0.356796,0.129520,0.135630,0.222990,-0.614381,-0.858198,0.463868
0.285528,-0.102874,-0.667176,-0.299743,0.527984,-0.148370,0.428536
1.175843,0.302011,1.576816,-0.375821,2.029921,-2.856597,5.511636
0.833547,-0.454114,1.058985,0.873605,-0.522767,-2.111933,2.391459
0.565745,0.899386,1.375542,-0.831633,2.815154,-2.522424,4.330163
0.939738,0.241845,1.576224,-0.350645,1.536527,-2.029607,2.809003
-0.183604,0.064369,-1.084747,-0.556403,0.266432,0.831327,-1.376038
-0.489491,0.485903,-0.603723,-0.701307,-0.178880,0.116152,-0.648526
0.681940,1.087940,0.153645,-0.444645,2.278263,1.376794,1.018329
-0.303881,-0.933339,0.174785,1.445582,-2.494128,-1.305508,-0.981999
-0.654915,-0.373457,0.782205,1.729918,-0.974187,0.278965,-2.442648
1.025894,-2.174303,1.036407,2.292968,-4.794493,-3.734154,3.433635
-0.842265,-1.155031,0.086148,2.071770,-2.493634,0.135749,-2.688785
-0.176737,0.280220,-1.029314,0.389171,-1.310677,1.531721,-2.429894
0.417281,0.414050,0.302089,-1.052951,2.659952,0.541446,1.796684
0.347452,-0.156684,0.350234,0.102562,0.133248,-1.426120,0.925783
-0.406495,0.907336,0.039131,-1.189608,1.285645,0.401019,1.113756
0.247087,0.141397,1.604570,0.516788,0.293124,-0.738474,1.371767
-0.812196,0.303612,-1.490262,-1.853834,2.171793,3.215148,-1.679643
0.586788,1.097018,0.687338,0.320081,2.341404,0.376978,-0.317514
-0.096525,-0.287743,0.997658,0.482056,-0.884689,-1.821487,1.013124
0.702264,-0.236557,-0.678459,0.343377,0.893532,0.241517,-1.119014
0.407419,-0.910990,1.058242,1.075667,-1.191259,-1.624708,0.308749
1.387520,-0.211737,2.291937,1.833654,-0.273192,-3.690272,2.789292
-0.007167,-2.055588,0.542836,2.352364,-4.815351,-2.673692,0.975370
0.627039,-0.275710,0.758946,-1.127398,0.648220,-0.994478,4.050237
0.759544,-0.766298,0.318442,0.031690,0.724391,-1.243845,1.340358
0.307009,0.175324,0.024772,-1.761769,0.927010,0.719898,2.089768
-0.441393,0.604966,0.026623,-0.404128,0.333381,0.848990,-0.936129
-0.717730,0.215690,-1.740296,-0.080943,-0.726795,1.388557,-1.792177
-0.851761,-0.325206,0.071768,0.670605,-0.820539,-0.841816,0.270349
1.172410,0.454887,0.534953,-0.614335,1.314291,-0.747504,2.138667
-0.499782,0.308523,-0.424405,0.515532,-1.479882,-0.089101,-1.836887
-0.332646,0.181361,-0.176887,-2.315633,1.955625,-0.295450,0.665859
0.299940,0.409241,0.790602,-1.216359,1.545066,-1.334990,3.687036
0.519200,0.982390,1.275150,-0.027595,2.619792,-1.374519,2.495502
0.189645,-0.197834,0.765720,-0.323231,-0.260085,-0.853328,0.728050
0.196517,0.147220,0.734549,-0.037117,0.118294,-2.644851,3.493752
0.588587,-0.169726,1.808379,1.269583,0.311059,-2.196865,1.284608
0.692593,1.610177,-0.553695,-1.488907,4.264083,2.058884,-0.046750
-0.253235,-0.295853,0.386336,1.573510,-0.849253,0.262516,-1.467936
-0.566625,-0.003765,0.160143,0.938445,-0.430475,0.410205,-3.033882
0.536809,-0.547341,1.125334,0.898799,-0.194314,-2.792425,1.801368
0.108480,0.289824,0.550903,-0.532166,2.416652,-0.918125,2.156823
0.246735,0.044892,2.760622,3.390081,-2.810682,-3.958081,0.116038
-0.544745,-0.779776,-1.349592,0.405999,-0.973684,1.717163,-2.655780
0.863925,-1.030544,1.716132,1.018646,-1.106733,-2.324255,3.908053
0.040900,-0.555228,-0.136269,1.667252,-0.535787,-0.819001,-0.716324
0.612562,0.706887,0.554781,-0.727603,3.157009,-0.728330,2.534048
0.348331,-0.306139,0.087888,0.701628,-1.371552,-0.383793,0.534611
-0.986234,-0.352197,-0.800898,0.448904,-1.774657,0.591142,-2.805611
-0.119282,-1.210994,1.799078,1.931951,-3.201208,-3.629265,1.618804
-0.185521,-0.291639,0.845834,-0.964143,0.648131,-1.225813,2.466156
-0.355658,0.658383,-0.371690,-1.193197,1.493937,0.929927,-0.085689
-1.185930,1.533367,-2.819431,-1.551682,2.817057,5.417405,-4.587066
1.084986,0.343841,1.226898,0.103066,0.874926,-0.024111,2.281837
0.472428,-0.061449,1.199237,1.844207,-0.313171,-2.561665,0.446007
-0.019431,-1.421191,0.034514,0.750697,-1.071875,-0.413337,-0.896441
-0.698995,-0.757907,1.156906,2.015704,-3.347586,-0.896113,-2.036523
-0.775964,-0.029908,-0.680903,0.303764,-0.351231,-0.408014,-1.729201
-0.181148,-1.282828,0.283221,1.582228,-1.981507,-1.625161,-0.497786
0.088134,-0.587162,0.376268,0.683743,-1.291381,-2.170808,-0.234234
-1.415912,-0.329727,0.645275,1.224635,-2.795392,-0.688878,-1.355560
0.709953,0.334212,-0.663880,-2.716494,3.671436,0.990581,2.775944
0.231451,-0.914453,0.389535,1.655647,-1.888389,-0.103412,-1.033920
-0.510412,0.297181,0.199575,1.804268,0.030582,0.009301,-1.872234
0.621928,0.896833,0.572206,-0.370900,3.123283,-0.254342,1.422946
0.444761,-0.589355,-0.174101,0.304352,-2.053738,0.805409,-0.004355
1.049094,-1.466645,0.928434,1.408559,-2.384720,-1.248508,1.761293
-0.438172,0.565751,-0.501405,-2.517569,2.182912,1.602872,0.359096
0.096801,-0.094179,0.678487,0.174882,0.040343,-0.856135,0.729523
0.665214,-0.169570,1.966911,1.294891,-0.516667,-2.882603,3.245659
0.651680,-0.119278,0.712498,0.854420,0.759789,0.252238,0.928480
0.735321,-0.429681,1.425979,0.196549,-1.208948,-2.328791,3.472815
-0.630224,-0.849852,-1.561952,-0.436535,-0.908448,1.953434,-2.340664
1.615013,0.054109,0.626558,-1.518546,-0.015708,-1.918393,6.206086
