X0,X1,X2,X3,X4,X5,X6
-0.126110,-0.052350,0.041529,-0.361493,-0.026824,0.097686,-0.215214
0.098549,-0.054543,0.133348,-0.286296,-0.212903,0.021293,0.340164
-0.201947,0.310130,-0.192220,0.456747,0.174361,-0.132975,0.075130
-0.026067,0.181807,-0.051126,0.206280,0.343087,0.112531,-0.392965
0.204666,0.332321,-0.384253,1.170891,0.539776,-0.536632,-0.084044
0.233130,-0.161133,0.291869,-0.772997,-0.659965,0.257935,-0.084386
0.137665,-0.151262,0.020760,0.161660,0.292051,-0.125716,0.197461
-0.195789,0.097608,-0.162456,0.508181,0.269378,-0.405893,-0.070446
0.103200,-0.245564,0.120381,-0.185584,-0.128759,0.161645,0.130627
0.224713,0.182314,-0.242722,0.014678,0.032524,-0.384523,0.213035
0.083480,-0.006151,0.369511,-0.629990,-0.659919,0.276249,-0.553254
-0.223930,0.329751,-0.136910,0.387785,0.144678,-0.293844,0.034054
0.166316,0.030832,-0.258090,0.349261,0.505528,-0.206810,0.312355
0.304187,0.087647,0.081402,-0.017247,0.107947,0.027959,-0.393718
0.301135,0.122666,-0.022078,0.137557,-0.158340,-0.236163,0.440644
0.176114,0.001134,-0.067078,-0.154377,-0.208021,0.175121,0.016126
-0.330050,-0.078128,-0.084978,-0.019542,0.155105,-0.126921,-0.114395
-0.232139,-0.536392,0.266817,-1.080519,-0.754403,0.712713,0.454831
0.121567,-0.056342,-0.045003,0.033933,-0.175823,-0.110080,0.412636
-0.136973,0.163905,0.064012,-0.370029,-0.508420,0.292249,-0.067053
0.113424,-0.013640,-0.274240,0.208410,-0.032471,0.117713,0.072919
-0.252481,0.209486,-0.026591,0.372521,-0.028088,-0.122819,-0.239466
-0.256995,-0.190498,0.191886,-0.094932,-0.060364,0.301987,0.111872
-0.319293,-0.296587,0.129833,-0.892961,-0.233723,0.659174,0.117354
-0.466560,-0.098268,0.113808,-0.327881,-0.603412,0.081338,0.178304
0.001094,-0.002122,0.002332,0.018666,-0.049156,-0.202704,-0.099896
0.060914,0.559347,0.108540,0.759484,-0.213523,-0.514503,0.196645
-0.201590,0.235914,0.113059,0.615117,0.292377,-0.062448,0.046259
0.089186,0.017638,0.351972,-0.498914,-0.526753,0.001535,0.001707
0.302013,-0.236729,0.109273,-0.502100,0.159625,0.174295,0.336028
0.107937,-0.298265,-0.090249,-0.030889,0.090959,0.038915,0.328491
-0.147513,-0.083983,0.287795,-0.492510,-0.249012,0.354587,0.433412
-0.196874,-0.091083,-0.115840,0.356068,-0.048107,-0.050337,-0.030965
0.181997,-0.268373,-0.105301,-0.812297,-0.374308,-0.017280,-0.412482
-0.173354,0.353127,-0.037161,0.498225,0.374377,-0.431529,-0.323613
-0.028325,0.064170,0.058837,-0.076802,0.092168,-0.417050,0.156752
-0.298267,0.209817,0.126516,-0.112979,0.288242,0.085052,0.324975
0.131078,0.325185,-0.062468,0.818408,0.274545,-0.647952,-0.047737
0.070401,-0.251814,-0.423076,-0.060859,-0.009285,0.112010,-0.201828
0.055043,0.111104,0.039359,0.058021,-0.590559,-0.149577,-0.414866
-0.470907,0.144759,0.257439,0.179729,-0.002803,0.185471,0.182644
0.542395,0.053954,-0.458389,0.342424,0.082309,0.005362,-0.307265
0.186650,-0.228197,-0.299805,-0.079581,0.267366,-0.061646,-0.194999
-0.027091,0.202748,0.101725,0.489759,0.620275,-0.341604,0.153100
0.098860,0.121474,-0.074700,0.002603,-0.098911,-0.176381,0.099694
-0.094255,0.336137,-0.022459,0.536560,0.305878,-0.536118,-0.300674
-0.097842,-0.111753,-0.256672,0.172451,0.310681,-0.257239,0.238448
0.058654,-0.121303,-0.565396,0.541525,0.336968,0.008518,-0.046965
0.048526,-0.225214,-0.211344,0.361466,0.445773,-0.397276,-0.347875
-0.037460,-0.189114,-0.169273,-0.166591,0.111935,0.013788,0.122732
0.069361,-0.232704,-0.235377,0.025433,-0.248869,0.019039,-0.042088
-0.025888,-0.046656,0.398719,0.024925,0.460007,0.078653,0.191580
-0.260795,0.122627,0.195069,0.130630,0.290467,-0.335112,0.333327
-0.329106,-0.098285,0.184915,-0.338531,-0.556542,-0.129666,-0.074327
0.097103,0.133632,-0.218354,0.687858,0.877705,-0.354802,0.045680
-0.192413,0.002666,0.104665,-0.483255,-0.281202,0.170007,-0.041399
-0.095847,-0.390713,0.201566,-0.708344,-0.552966,0.063047,-0.195712
-0.200846,-0.545089,-0.128728,-0.681761,-0.560360,0.140231,-0.097283
-0.029184,0.157708,-0.073844,0.696765,0.536276,-0.135694,-0.218952
0.232608,0.033256,0.386887,-0.574345,0.024298,0.121360,-0.244119
-0.184610,0.518692,-0.128888,0.718913,0.409243,0.132756,-0.138184
-0.058801,-0.216919,-0.057447,-0.319797,-0.308099,-0.042931,0.015326
0.190427,-0.125352,0.272151,-0.323079,-0.211506,0.215953,0.014733
0.136228,-0.131960,-0.048992,0.133195,0.142852,-0.474742,0.054520
0.466759,-0.138740,-0.303312,0.259368,0.019050,0.207205,0.044334
0.196610,-0.288466,-0.073561,-0.186614,-0.141095,0.082346,0.226865
-0.108077,0.098412,0.057203,0.035951,0.204676,-0.268571,0.358004
-0.209042,-0.003616,-0.353263,0.455010,0.440872,-0.236050,-0.296039
-0.047814,-0.202216,-0.006871,-0.330691,0.083092,0.402805,-0.211386
0.211810,0.237916,-0.261159,0.802774,0.322334,-0.892316,-0.150281
0.023886,-0.184516,0.084188,-0.103346,-0.061677,0.090464,0.550186
0.146651,0.063225,-0.509939,0.889394,0.633526,-0.043829,0.241233
-0.202096,-0.060933,-0.092162,-0.023211,-0.218050,-0.042907,-0.032023
0.304259,-0.187836,-0.109826,-0.174951,-0.370410,0.262632,-0.140910
0.093887,0.084564,-0.047517,0.229010,0.251503,0.115646,0.154303
-0.065118,0.417283,0.019261,0.260556,0.167315,0.457054,0.202438
0.226132,0.022771,-0.084024,0.020559,0.325377,-0.148746,0.120243
